fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,Id
8.6,0.53,0.22,2,0.1,7,27,0.9967,3.2,0.56,10.2,6,448
11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,6,449
11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,6,450
6.8,0.56,0.03,1.7,0.084,18,35,0.9968,3.44,0.63,10,6,452
10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,7,453
7,0.23,0.4,1.6,0.063,21,67,0.9952,3.5,0.63,11.1,5,454
11.3,0.62,0.67,5.2,0.086,6,19,0.9988,3.22,0.69,13.4,8,455
8.9,0.59,0.39,2.3,0.095,5,22,0.9986,3.37,0.58,10.3,5,456
9.2,0.63,0.21,2.7,0.097,29,65,0.9988,3.28,0.58,9.6,5,457
11.6,0.58,0.66,2.2,0.074,10,47,1.0008,3.25,0.57,9,3,459
9.2,0.43,0.52,2.3,0.083,14,23,0.9976,3.35,0.61,11.3,6,460
8.3,0.615,0.22,2.6,0.087,6,19,0.9982,3.26,0.61,9.3,5,461
